SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,HEATP8   ,HTLS508  ,FURNAC8  ,BOILER8  ,PKGHT8   ,SLFCON8  ,HTPMPH8  ,STHW8    ,OTHTEQ8  ,FURNP8   ,BOILP8   ,PKGHP8   ,SLFCNP8  ,HTPHP8   ,STHWP8   ,OTHTP8   ,MAINHT8  ,PKGHPS8  ,SPLHPS8  ,RMHPS8   ,AIRHPT8  ,GRDHPT8  ,WTRHPT8  ,NWMNHT8  ,RDHTNF8  ,HWRDHT8  ,COOLP8   ,PKGCL8   ,RCAC8    ,ACWNWL8  ,HTPMPC8  ,CHWT8    ,CHILLR8  ,EVAPCL8  ,OTCLEQ8  ,PKGCP8   ,RCACP8   ,ACWNWP8  ,HTPCP8   ,CHWTP8   ,CHILP8   ,EVAPP8   ,OTCLP8   ,MAINCL8  ,PKGCPS8  ,SPLCPS8  ,RMCPS8   ,AIRCPT8  ,GRDCPT8  ,WTRCPT8  ,NWMNCL8  ,RDCLNF8  ,HWRDCL8  ,VAV8     ,ECN8     ,MAINT8   ,EMCS8    ,HDD658   ,CDD658   ,MFHTBTU8 ,MFCLBTU8 ,HTEUI,CLEUI,HTCLEUI,ADJWT8   
41000,5,8,12,1,2,2,2,2,2,100, ,2,2,2,2,1,2,2,   ,   ,   ,   ,100,   ,   ,5,2,1,2,1,2,2, ,1,2,100,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,2,1,2,1,2,2, ,1,2,1,2,1,2,617,4320,4851,244354,0.118317073,5.959853659,6.078170732,406.52
4100,2,7,13,1,2,2,1,2,2,100, ,1,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,1, , , , , , , ,1,2,100,2,1,2,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,   ,2, , , , , , , ,1,2,2,2,2,2,5894,1087,0,5253,0,1.281219512,1.281219512,2447.55
180000,7,7,18,1,1,2,2,2,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , , ,2, ,100,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , , ,2, ,1,1,1, ,6097,583,3733997,455586,20.74442778,2.531033333,23.27546111,116.76
15000,4,4,25,1,1,2,2,2,2,100, ,2,2,1,2,2,2,2,   ,   ,100,   ,   ,   ,   ,3, , , , , , ,2,2, ,66,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,2, ,2,2,1, ,6467,629,1720843,53017,114.7228667,3.534466667,118.2573333,864.37
35500,5,5,14,1,1,2,2,1,2,100, ,2,2,2,2,2,1,2,   ,   ,   ,   ,   ,100,   ,6, , , , , , , ,1,3,100,2,2,2,2,2,1,2,2,   ,   ,   ,   ,   ,100,   ,   ,6, , , , , , ,1,1,3,1,2,1,1,7628,562,4788337,77433,134.8827324,2.181211268,137.0639437,720.92
8000,3,6,23,1,1,2, ,2,2,   , , , , , , , , ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , ,   , , , , , , , , ,   ,   ,   ,   ,   ,   ,   ,   ,  , , , , , , , , , , , , , ,2915,1333,192090,77074,24.01125,9.63425,33.6455,343.4
29000,5,7,14,1,2,2,2,2,2,   , , , , , , , , ,   ,   ,   ,   ,   ,   ,   , , , , , , , , , , ,100,2,1,2,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,   ,2, , , , , , , ,2, ,1,1,1, ,658,3965,0,458874,0,15.82324138,15.82324138,460.92
172000,7,4,25,1,1,2,2,2,2,100, ,2,1,2,1,2,2,2,   ,85,   ,20,   ,   ,   ,2, , , , , , ,2,1,1,100,1,2,2,2,2,1,2,2,15,   ,   ,   ,   ,85,   ,   ,6, , , , , , ,2,1,1,2,1,1,2,5918,749,1422236,1021562,8.268813953,5.939313953,14.20812791,83.77
1600,2,7,15,1,1,2,2,2,2,85, ,2,2,1,2,2,2,2,   ,   ,100,   ,   ,   ,   ,3, , , , , , , ,1,1,85,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , , ,1,1,1,1,1,2,6512,601,164571,31956,102.856875,19.9725,122.829375,1701.91
450000,8,2,16,1,1,2,2,2,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,2,2, ,100,1,2,2,2,2,1,2,2,20,   ,   ,   ,   ,80,   ,   ,6, , , , , , ,2,2, ,2,2,1, ,4360,1237,20661619,3251866,45.91470889,7.226368889,53.14107778,5.83
4000,2,8,8,1,1,2,2,2,2,100, ,1,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,1, , , , , , , ,1,1,100,2,1,2,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,   ,2, , , , , , , ,1,1,2,1,1,2,7826,372,42374,4851,10.5935,1.21275,11.80625,2724.37
12000,4,4,14,1,2,2,2,2,2,75, ,2,2,2,2,1,2,2,   ,   ,   ,   ,100,   ,   ,5,2,2,1,1,2,2,2,1,3,75,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,2,2,1,1,2,2,2,1,3,2,2,2,1,2298,2067,29904,174333,2.492,14.52775,17.01975,1769.43
102000,7,4,14,1,1,1,2,2,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,2,1,3,70,2,2,2,2,2,1,2,2,   ,   ,   ,   ,   ,100,   ,   ,6, , , , , , ,1,1,3,1,2,1,1,7525,819,690512,296017,6.76972549,2.902127451,9.671852941,132.13
1550,2,6,14,1,2,2,2,2,2,100, ,2,2,2,2,1,2,2,   ,   ,   ,   ,100,   ,   ,5,1,2,2,1,2,2,2,1,2,100,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,1,2,2,1,2,2,2,1,2,2,2,1,2,1579,2826,2194,26754,1.415483871,17.26064516,18.67612903,1945.16
28000,5,8,26,1,1,2,2,2,2,100, ,1,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,1, , , , , , , ,1,1,100,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , , ,1,1,1,2,1,2,3610,1619,566335,345493,20.22625,12.33903571,32.56528571,864.37
400000,8,2,2,1,2,1,2,2,2,98, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,2,2, ,90,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,1,2, ,1,1,1, ,5803,781,31215073,3300159,78.0376825,8.2503975,86.28808,46.81
23500,4,4,25,1,1,2,2,2,2,100, ,1,2,2,2,2,2,1,100,   ,   ,   ,   ,   ,100,1, , , , , , ,1,1,1,60,2,1,1,2,2,2,2,2,   ,90,10,   ,   ,   ,   ,   ,3, , , , , , ,1,1,2,2,2,1,2,2686,1794,373222,80438,15.88178723,3.422893617,19.30468085,297.78
77000,6,3,14,1,1,2,2,2,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,1,1,3,100,1,1,2,2,2,2,2,2,96,4,   ,   ,   ,   ,   ,   ,1, , , , , , ,1,1,3,2,1,1,1,6071,703,3694168,431283,47.97620779,5.601077922,53.57728571,188.03
7200,3,7,2,1,1,2,2,2,2,100, ,1,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,1, , , , , , , ,2, ,75,2,1,2,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,   ,2, , , , , , , ,2, ,2,2,2, ,8838,557,166324,9907,23.10055556,1.375972222,24.47652778,781.6
2200,2,5,15,1,2,2,2,2,2,100, ,2,2,2,2,1,2,2,   ,   ,   ,   ,100,   ,   ,5,1,2,2,1,2,2,2,1,2,100,2,2,2,1,2,2,2,2,   ,   ,   ,100,   ,   ,   ,   ,4,1,2,2,1,2,2,2,1,2,2,2,2,2,2273,2068,12326,69241,5.602727273,31.47318182,37.07590909,1446.07
900000,9,8,2,1,1,1,2,1,2,100, ,2,2,2,2,2,1,1,   ,   ,   ,   ,   ,100,100,6, , , , , , , ,1,3,95,2,2,2,2,2,1,2,2,   ,   ,   ,   ,   ,100,   ,   ,6, , , , , , , ,1,3,1,2,1,1,5596,799,36398883,3616314,40.44320333,4.018126667,44.46133,46.81
116000,7,6,2,1,1,2,2,2,2,90, ,1,2,1,2,2,2,2,90,   ,10,   ,   ,   ,   ,1, , , , , , ,2,1,3,90,1,2,2,2,2,2,2,2,100,   ,   ,   ,   ,   ,   ,   ,1, , , , , , ,2,1,3,1,1,1,1,5734,823,2025327,633625,17.45971552,5.462284483,22.922,77.89
20000,4,4,18,1,1,2,2,2,2,100, ,2,1,2,2,2,2,2,   ,100,   ,   ,   ,   ,   ,2, , , , , , ,2,1,3,100,2,2,2,2,2,2,1,2,   ,   ,   ,   ,   ,   ,100,   ,7, , , , , , ,2,1,3,2,1,1,1,4805,1107,482163,48219,24.10815,2.41095,26.5191,781.6
